订单号,客户代码（需方）,最终用户,部门代码,最早交货月,订单交货月,保产合同/非保产合同,渠道委托控货标记,制造单元,股份合同性质,品种代码,订单是否变更过(价格变更),订单是否变更过(重量变更),订单是否变更过 (交货信息变更(订单是否变更物流模板)),营销员代码,协议价格类型,渠道强制生效&延付罚息白名单维护（Q01-延付罚息白名单，Q03-强制生效管控名单）,合同是否厂商银（F-融资）,交货方式,运输方式代码,备货转销售,订单是否免息,收条是否有免息政策,收条上做买方付息，做报批件，做过折现的,订货量,订单价格(含税）,总重量,总金额(含税),本客户的平均回款天数:本客户的所有订单sum（订单首次配足款时间-合同强制生效时间）/订单数,本单该客户的平均晚回款比例：(本单客户的本次配足款时间-合同强制生效时间)/本客户的平均回款天数,本品种的平均回款天数:本品种的所有订单sum（订单首次配足款时间-合同强制生效时间）/订单数,本单该品种的平均晚回款比例：(本单品种的本次配足款时间-合同强制生效时间)/本品种的平均回款天数,总件数（按件计）,本客户历史订货总量,本客户历史订单总数（合约数）,本品种历史订单总数（合约数）,强制生效-首付款差值综合（客户）,强制生效-首付款差值综合（品种）,回款时间
QB23A00429,008906,008071,QB202000,202310,20230913162654946,N,N,J,QZA,MC,N,N,N,105237,N,Q01,N,20.0,23.0,N,N,N,Y,445.0,10731.61,445.0,4825851.45,84.61266874,1.087307626,75.38231353,1.220445429,0.0,4825851.45,963.0,2239,81482.0,168781.0,21.82638888888889
QB23A00436,010080,008906,QB202000,202310,20230913165254883,N,N,Z,QZA,MC,N,N,N,105237,N,Q01,N,20.0,22.0,N,N,N,N,20.0,11257.06,42.0,496334.42,55.01984127,0.218103137,75.38231353,0.159188534,0.0,496334.42,252.0,2239,13865.0,168781.0,11.78888888888889
QB23A00437,068301,003874,QB202000,202310,20230913170842954,N,N,M,QZA,X0,N,N,N,105209,N,N,N,20.0,23.0,N,N,N,N,23.0,7026.34,23.0,166803.82,43.35051546,0.115338882,66.61853448,0.075054188,0.0,166803.82,97.0,1856,4205.0,123644.0,5.022222222222222
QB23A00438,052370,003874,QB202000,202310,20230913171055558,N,N,Z,QZA,X0,N,N,N,105209,N,Q01,N,20.0,23.0,N,N,N,N,22.0,7483.99,22.0,169619.78,61.71980676,0.194427051,66.61853448,0.180130051,0.0,169619.78,621.0,1856,38328.0,123644.0,12.004166666666668
QB23A00440,052370,011022,QB202000,202310,20230913233330938,N,N,Z,QZA,LC,N,N,N,105209,N,Q01,N,20.0,23.0,N,N,N,N,20.0,9002.71,173.0,1558875.68,61.71980676,0.194427051,64.70043,0.185470174,0.0,1558875.68,621.0,2093,38328.0,135418.0,12.004166666666668
QB23A00441,052370,011022,QB202000,202310,20230913233451791,N,N,Z,QZA,LC,N,N,N,105209,N,Q01,N,20.0,23.0,N,N,N,N,25.0,9889.76,65.0,656168.4,61.71980676,0.194427051,64.70043,0.185470174,0.0,656168.4,621.0,2093,38328.0,135418.0,12.004166666666668
QB23A00442,068301,086141,QB202000,202310,20230913233634576,N,A,Z,QZA,LC,N,N,N,105209,N,N,N,20.0,21.0,N,N,N,N,15.0,9550.76,34.0,329833.44,43.35051546,0.115338882,64.70043,0.077279239,0.0,329833.44,97.0,2093,4205.0,135418.0,5.021527777777778
QB23A00443,052370,011022,QB202000,202310,20230913233807611,N,N,Z,QZA,LC,N,N,N,105209,N,Q01,N,20.0,23.0,N,N,N,N,19.0,8833.21,38.0,344249.98,61.71980676,0.194427051,64.70043,0.185470174,0.0,344249.98,621.0,2093,38328.0,135418.0,12.004166666666668
QB23A00444,052370,088318,QB202000,202310,20230914002050848,N,N,C,QZA,LC,N,N,N,105209,N,Q01,N,20.0,22.0,N,Y,N,N,40.0,8052.38,40.0,331135.2,61.71980676,0.226831559,64.70043,0.216381869,0.0,331135.2,621.0,2093,38328.0,135418.0,13.797222222222222
QB23A00445,052370,011022,QB202000,202310,20230914002232385,N,N,C,QZA,LC,N,N,N,105209,N,Q01,N,20.0,22.0,N,Y,N,N,27.0,8312.28,47.0,405480.16,61.71980676,0.226831559,64.70043,0.216381869,0.0,405480.16,621.0,2093,38328.0,135418.0,13.797222222222222
QB23A00446,010080,010127,QB202000,202310,20230914002905517,N,N,Z,QZA,LC,N,N,N,105209,N,Q01,N,20.0,22.0,N,N,N,N,20.0,9381.26,58.0,552927.08,55.01984127,0.236278399,64.70043,0.200926022,0.0,552927.08,252.0,2093,13865.0,135418.0,12.877083333333333
QB23A00447,010080,010127,QB202000,202310,20230914003108677,N,N,Z,QZA,LC,N,N,N,105209,N,Q01,N,20.0,22.0,N,N,N,N,17.0,8906.66,335.0,3068311.6,55.01984127,0.236278399,64.70043,0.200926022,0.0,3068311.6,252.0,2093,13865.0,135418.0,12.877083333333333
QB23A00448,010080,011022,QB202000,202310,20230914003441444,N,N,Z,QZA,MC,N,N,N,105209,N,Q01,N,20.0,22.0,N,N,N,N,20.0,11523.74,20.0,234994.8,55.01984127,0.236278399,75.38231353,0.172454245,0.0,234994.8,252.0,2239,13865.0,168781.0,12.877083333333333
QB23A00449,010080,010127,QB202000,202310,20230914003804517,N,N,Z,QZA,MC,N,N,N,105209,N,Q01,N,20.0,22.0,N,N,N,N,160.0,10928.23,198.0,2202096.54,55.01984127,0.236278399,75.38231353,0.172454245,0.0,2202096.54,252.0,2239,13865.0,168781.0,12.877083333333333
QB23A00450,010080,010127,QB202000,202310,20230914003930077,N,N,Z,QZA,MC,N,N,N,105209,N,Q01,N,20.0,22.0,N,N,N,N,19.0,9866.03,230.0,2560734.81,55.01984127,0.236278399,75.38231353,0.172454245,0.0,2560734.81,252.0,2239,13865.0,168781.0,12.877083333333333
QB23A00454,010080,011022,QB202000,202310,20230914082429313,N,N,J,QZA,LC,N,N,N,105209,N,Q01,N,20.0,23.0,N,N,N,N,17.0,10579.06,17.0,183686.02,55.01984127,0.236278399,64.70043,0.200926022,0.0,183686.02,252.0,2093,13865.0,135418.0,12.877083333333333
QB23A00456,010080,010127,QB202000,202310,20230914082435235,N,N,J,QZA,LC,N,N,N,105209,N,Q01,N,20.0,23.0,N,N,N,N,19.0,8499.86,54.0,479767.49,55.01984127,0.236278399,64.70043,0.200926022,0.0,479767.49,252.0,2093,13865.0,135418.0,12.877083333333333
QB23A00457,052370,011022,QB202000,202310,20230914082439967,N,N,J,QZA,MC,N,N,N,105209,N,Q01,N,20.0,23.0,N,N,N,N,30.0,10391.48,127.0,1356160.46,61.71980676,0.194427051,75.38231353,0.159188534,0.0,1356160.46,621.0,2239,38328.0,168781.0,12.004166666666668
QB23A00458,068301,086141,QB202000,202310,20230914100448917,N,N,J,QZA,MC,N,N,N,105209,N,N,N,20.0,22.0,N,N,N,N,25.0,10730.48,25.0,273912.0,43.35051546,0.115338882,75.38231353,0.066328556,0.0,273912.0,97.0,2239,4205.0,168781.0,4.959027777777778
QB23A00459,068301,086141,QB202000,202310,20230914082447945,N,N,J,QZA,MC,N,N,N,105209,N,N,N,20.0,22.0,N,N,N,N,15.0,11538.43,48.0,565980.84,43.35051546,0.115338882,75.38231353,0.066328556,0.0,565980.84,97.0,2239,4205.0,168781.0,5.021527777777778
QB23A00460,010080,010127,QB202000,202310,20230914082452570,N,N,J,QZA,MC,N,N,N,105209,N,Q01,N,20.0,23.0,N,N,N,N,80.0,12301.18,170.0,2129620.6,55.01984127,0.236278399,75.38231353,0.172454245,0.0,2129620.6,252.0,2239,13865.0,168781.0,12.877083333333333
QB23A00461,010080,010127,QB202000,202310,20230914082455804,N,N,J,QZA,MC,N,N,N,105209,N,Q01,N,20.0,23.0,N,N,N,N,60.0,11340.68,60.0,694000.8,55.01984127,0.236278399,75.38231353,0.172454245,0.0,694000.8,252.0,2239,13865.0,168781.0,12.877083333333333
QB23A00462,010080,010127,QB202000,202310,20230914082458200,N,N,J,QZA,MC,N,N,N,105209,N,Q01,N,20.0,23.0,N,N,N,N,40.0,10975.69,40.0,448067.6,55.01984127,0.236278399,75.38231353,0.172454245,0.0,448067.6,252.0,2239,13865.0,168781.0,12.877083333333333
QB23A00464,068301,086141,QB202000,202310,20230914082504309,N,N,J,QZA,MC,N,N,N,105209,N,N,N,20.0,22.0,N,N,N,N,23.0,11043.49,48.0,551105.52,43.35051546,0.115338882,75.38231353,0.066328556,0.0,551105.52,97.0,2239,4205.0,168781.0,5.021527777777778
QB23A00465,068301,086141,QB202000,202310,20230914082507490,N,N,J,QZA,MC,N,N,N,105209,N,N,N,20.0,22.0,N,N,N,N,20.0,11594.93,20.0,236418.6,43.35051546,0.115338882,75.38231353,0.066328556,0.0,236418.6,97.0,2239,4205.0,168781.0,5.021527777777778
QB23A00467,042274,038489,QB202000,202310,20230914083937792,N,N,C,QZA,MC,N,N,N,105289,N,Q01,N,20.0,22.0,N,Y,N,N,30.0,10176.78,30.0,307676.4,76.71683673,1.290459881,75.38231353,1.313305408,0.0,307676.4,784.0,2239,60146.0,168781.0,29.102777777777778
QB23A00469,A16858,003874,QB202000,202310,20230914092226281,N,N,B,QZA,X0,N,N,N,105209,N,Q01,N,20.0,23.0,N,N,N,Y,18.0,7596.99,18.0,140813.82,63.70949721,0.219747457,66.61853448,0.210151726,0.0,140813.82,179.0,1856,11404.0,123644.0,13.775694444444445
QB23A00472,A02282,003952,QB202100,202310,20230914094805542,Y,A,Z,QZA,X0,Y,N,N,784544,N,N,N,20.0,23.0,N,N,N,N,60.0,4672.2788,380.0,1772979.94,13.66666667,0.512195122,66.61853448,0.105075863,0.0,1772979.94,6.0,1856,82.0,123644.0,6.825694444444444
